name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Pemalang, Indonesia",2026-07-10T00:00:00,70.1,70.1,63.6,79.93,0,0,,0,0,5.4,4.5,180,1014,4.9,15,0,0,0,0,Clear,clear-night,
"Pemalang, Indonesia",2026-07-10T01:00:00,69.5,69.5,63.1,79.89,0,0,,0,0,5.1,4.5,171.1,1014,38.3,15,0,0,0,0,Partially cloudy,partly-cloudy-night,
"Pemalang, Indonesia",2026-07-10T02:00:00,68.8,68.8,62.3,79.84,0,0,,0,0,4,3.8,169.4,1014,5,15,0,0,0,0,Clear,clear-night,
"Pemalang, Indonesia",2026-07-10T03:00:00,68.6,68.6,61.6,78.32,0,0,,0,0,5.6,5.1,185,1013,5.7,15,0,0,0,0,Clear,clear-night,
"Pemalang, Indonesia",2026-07-10T04:00:00,68.3,68.3,60.9,77.29,0,0,,0,0,4.9,4.9,185.8,1013,91,15,0,0,0,0,Overcast,cloudy,
"Pemalang, Indonesia",2026-07-10T05:00:00,68.1,68.1,60.3,76.3,0,0,,0,0,4.3,4.7,185.4,1014,11.4,15,0,0,0,0,Clear,clear-night,
"Pemalang, Indonesia",2026-07-10T06:00:00,67.7,67.7,59.6,75.29,0,0,,0,0,4.3,4.7,181.8,1014,50,15,0,0,0,0,Partially cloudy,partly-cloudy-day,
"Pemalang, Indonesia",2026-07-10T07:00:00,71.5,71.5,60.7,68.76,0,0,,0,0,4.7,3.8,176.6,1014,5.7,15,75,0.3,1,0,Clear,clear-day,
"Pemalang, Indonesia",2026-07-10T08:00:00,78.2,78.2,59.8,53.31,0,0,,0,0,2.9,1.6,160.6,1015,100,15,301,1.1,3,0,Overcast,cloudy,
"Pemalang, Indonesia",2026-07-10T09:00:00,82.5,82.4,58.6,44.25,0,0,,0,0,3.1,1.1,14.6,1014,84,15,502,1.8,5,0,Partially cloudy,partly-cloudy-day,
"Pemalang, Indonesia",2026-07-10T10:00:00,85.7,84.6,56.7,37.38,0,0,,0,0,4.5,2.5,0.1,1014,5.2,15,698,2.5,7,0,Clear,clear-day,
"Pemalang, Indonesia",2026-07-10T11:00:00,87,85.6,56.2,35.21,0,0,,0,0,5.6,5.1,2.4,1013,5,15,830,3,8,0,Clear,clear-day,
"Pemalang, Indonesia",2026-07-10T12:00:00,87.3,86.4,57.8,36.9,0,0,,0,0,6.5,8.5,3.4,1012,6.5,15,886,3.2,9,0,Clear,clear-day,
"Pemalang, Indonesia",2026-07-10T13:00:00,85.9,85.8,60.2,42,0,0,,0,0,6.5,10.1,5.8,1011,9.9,15,869,3.1,9,0,Clear,clear-day,
"Pemalang, Indonesia",2026-07-10T14:00:00,84.6,85.2,61.8,46.32,0,0,,0,0,6.5,9.6,9.7,1011,16.2,15,781,2.8,8,0,Clear,clear-day,
"Pemalang, Indonesia",2026-07-10T15:00:00,82.8,84.1,63.4,51.96,0,0,,0,0,6.5,8.5,22.2,1010,83.1,15,628,2.3,6,0,Partially cloudy,partly-cloudy-day,
"Pemalang, Indonesia",2026-07-10T16:00:00,81.4,83.1,64.5,56.54,0,0,,0,0,6.5,7.2,28.4,1011,8.8,15,421,1.5,4,0,Clear,clear-day,
"Pemalang, Indonesia",2026-07-10T17:00:00,78.9,78.9,65.4,63.36,0,0,,0,0,6,4.5,33.9,1011,31.7,15,201,0.7,2,0,Partially cloudy,partly-cloudy-day,
"Pemalang, Indonesia",2026-07-10T18:00:00,74.7,74.7,64.8,71.32,0.004,0,rain,0,0,2,1.3,59.8,1012,14.6,15,0,0,0,0,Clear,clear-night,
"Pemalang, Indonesia",2026-07-10T19:00:00,72.9,72.9,64.7,75.29,0,0,,0,0,2.2,2,142.7,1013,18.5,15,0,0,0,0,Clear,clear-night,
"Pemalang, Indonesia",2026-07-10T20:00:00,72.2,72.2,64.8,77.63,0,0,,0,0,4.9,4,169.5,1014,6.1,15,0,0,0,0,Clear,clear-night,
"Pemalang, Indonesia",2026-07-10T21:00:00,71.3,71.3,65.2,81.04,0,0,,0,0,6.5,5.1,185.5,1014,23.9,15,0,0,0,0,Partially cloudy,partly-cloudy-night,
"Pemalang, Indonesia",2026-07-10T22:00:00,70.6,70.6,65.2,83.04,0,0,,0,0,5.4,4.5,187.9,1014,4.7,15,0,0,0,0,Clear,clear-night,
"Pemalang, Indonesia",2026-07-10T23:00:00,70.1,70.1,64.7,83.01,0,0,,0,0,5.1,4.5,197.8,1014,15.4,15,0,0,0,0,Clear,clear-night,
"Pemalang, Indonesia",2026-07-11T00:00:00,69.9,69.9,64.3,82.48,0,0,,0,0,4.5,4.3,184.1,1014,3.3,15,0,0,0,0,Clear,clear-night,
"Pemalang, Indonesia",2026-07-11T01:00:00,69.5,69.5,63.9,82.45,0,0,,0,0,4.5,4.3,178.3,1013,4.1,15,0,0,0,0,Clear,clear-night,
"Pemalang, Indonesia",2026-07-11T02:00:00,69.2,69.2,63.6,82.43,0,0,,0,0,4,4,178,1013,28,15,0,0,0,0,Partially cloudy,partly-cloudy-night,
"Pemalang, Indonesia",2026-07-11T03:00:00,68.8,68.8,63.4,82.93,0,0,,0,0,4.7,4.5,186.2,1012,63.1,15,0,0,0,0,Partially cloudy,partly-cloudy-night,
"Pemalang, Indonesia",2026-07-11T04:00:00,68.6,68.6,63.2,82.91,0,0,,0,0,5.1,4.9,193.9,1013,91.8,15,0,0,0,0,Overcast,cloudy,
"Pemalang, Indonesia",2026-07-11T05:00:00,68.4,68.4,63.1,82.9,0,0,,0,0,4.5,4.7,187.7,1013,8.9,15,0,0,0,0,Clear,clear-night,
"Pemalang, Indonesia",2026-07-11T06:00:00,68.4,68.4,62.9,82.38,0,0,,0,0,4.3,4.5,186.4,1014,5.7,15,0,0,0,0,Clear,clear-day,
"Pemalang, Indonesia",2026-07-11T07:00:00,72.4,72.4,63.6,73.83,0,0,,0,0,3.4,2.7,180.6,1014,1.2,15,74,0.3,1,0,Clear,clear-day,
"Pemalang, Indonesia",2026-07-11T08:00:00,78,78,63.4,60.9,0,0,,0,0,1.3,0.4,180.5,1014,5,15,296,1.1,3,0,Clear,clear-day,
"Pemalang, Indonesia",2026-07-11T09:00:00,81.8,82.9,62.7,52.47,0,0,,0,0,3.1,2.7,14.9,1014,4.1,15,515,1.9,5,0,Clear,clear-day,
"Pemalang, Indonesia",2026-07-11T10:00:00,83.9,84.6,62.1,48.01,0,0,,0,0,4.5,5.1,4.4,1013,5.8,15,696,2.5,7,0,Clear,clear-day,
"Pemalang, Indonesia",2026-07-11T11:00:00,85.2,85.9,62.3,46.4,0,0,,0,0,6.5,8.1,3.1,1012,7,15,819,2.9,8,0,Clear,clear-day,
"Pemalang, Indonesia",2026-07-11T12:00:00,85.6,86.6,63.2,47.34,0,0,,0,0,6.7,9.8,2.8,1011,7.2,15,874,3.1,9,0,Clear,clear-day,
"Pemalang, Indonesia",2026-07-11T13:00:00,84.8,86.3,64.3,50.31,0,0,,0,0,6.7,9.6,4.1,1010,15,15,857,3.1,9,0,Clear,clear-day,
"Pemalang, Indonesia",2026-07-11T14:00:00,84.1,85.8,64.8,52.47,0,0,,0,0,5.8,9.2,14.4,1010,55.5,15,767,2.8,8,0,Partially cloudy,partly-cloudy-day,
"Pemalang, Indonesia",2026-07-11T15:00:00,82.5,84.5,65.6,56.69,0,0,,0,0,4.3,6.3,17.2,1009,91.3,15,507,1.8,5,0,Overcast,cloudy,
"Pemalang, Indonesia",2026-07-11T16:00:00,81.9,84.1,65.9,58.42,0,0,,0,0,3.8,5.6,19.7,1009,96.1,15,369,1.3,4,0,Overcast,cloudy,
"Pemalang, Indonesia",2026-07-11T17:00:00,78.9,78.9,66.8,66.6,0,0,,0,0,5.4,5.1,28.2,1010,79.3,15,169,0.6,2,0,Partially cloudy,partly-cloudy-day,
"Pemalang, Indonesia",2026-07-11T18:00:00,75.5,75.5,66.1,72.75,0,0,,0,0,6.3,4.3,55.3,1011,53.5,15,0,0,0,0,Partially cloudy,partly-cloudy-night,
"Pemalang, Indonesia",2026-07-11T19:00:00,74.7,74.7,65.4,72.68,0,0,,0,0,4,2.9,94.4,1012,53.1,15,0,0,0,0,Partially cloudy,partly-cloudy-night,
"Pemalang, Indonesia",2026-07-11T20:00:00,73.7,73.7,65.4,75.35,0,0,,0,0,3.1,3.1,173.2,1013,41.3,15,0,0,0,0,Partially cloudy,partly-cloudy-night,
"Pemalang, Indonesia",2026-07-11T21:00:00,72.9,72.9,65.6,77.69,0,0,,0,0,2.9,3.1,191.8,1013,49.8,15,0,0,0,0,Partially cloudy,partly-cloudy-night,
"Pemalang, Indonesia",2026-07-11T22:00:00,72.4,72.4,65.6,79.11,0,0,,0,0,3.8,4,199.5,1013,64,15,0,0,0,0,Partially cloudy,partly-cloudy-night,
"Pemalang, Indonesia",2026-07-11T23:00:00,71,71,65.2,82.03,0,0,,0,0,2.7,2.9,194.7,1013,100,15,0,0,0,0,Overcast,cloudy,
"Pemalang, Indonesia",2026-07-12T00:00:00,70.6,70.6,65,82.52,0,0,,0,0,2,2.2,183.9,1013,100,15,0,0,0,0,Overcast,cloudy,
"Pemalang, Indonesia",2026-07-12T01:00:00,70.4,70.4,64.8,82.51,0,0,,0,0,2.9,3.1,191.7,1012,100,15,0,0,0,0,Overcast,cloudy,
"Pemalang, Indonesia",2026-07-12T02:00:00,70.1,70.1,64.5,82.49,0,0,,0,0,2.7,2.9,160.3,1012,92.5,15,0,0,0,0,Overcast,cloudy,
