name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Pemalang, Indonesia",2026-05-01T00:00:00,24.9,24.9,23.2,90.29,0.6,100,rain,0,0,9,1.1,167.7,1013,100,24.1,0,0,0,10,"Rain, Overcast",rain,
"Pemalang, Indonesia",2026-05-01T01:00:00,25.2,25.2,23.3,89.23,0.2,0,rain,0,0,11.2,0.7,186.7,1012,100,24.1,0,0,0,10,Overcast,cloudy,
"Pemalang, Indonesia",2026-05-01T02:00:00,25,25,23.3,90.3,0.7,100,rain,0,0,11.9,1.8,157.5,1011,100,24.1,0,0,0,10,"Rain, Overcast",rain,
"Pemalang, Indonesia",2026-05-01T03:00:00,24.8,24.8,23.1,90.29,0.7,100,rain,0,0,13,2.9,169.1,1011,100,24.1,0,0,0,3,"Rain, Overcast",rain,
"Pemalang, Indonesia",2026-05-01T04:00:00,24.7,24.7,23.3,91.93,0.5,100,rain,0,0,14,2.5,164.5,1011,99.6,24.1,0,0,0,10,"Rain, Overcast",rain,
"Pemalang, Indonesia",2026-05-01T05:00:00,24.4,24.4,23,91.91,0.4,100,rain,0,0,14,3.2,175,1011,100,24.1,0,0,0,10,"Rain, Overcast",rain,
"Pemalang, Indonesia",2026-05-01T06:00:00,24.5,24.5,23.1,91.92,0.3,100,rain,0,0,14.8,5.4,174.3,1012,90.4,24.1,0.9,0,0,3,"Rain, Overcast",rain,
"Pemalang, Indonesia",2026-05-01T07:00:00,25,25,23.7,92.5,0.1,0,rain,0,0,17.6,6.1,168.4,1012,82.8,24.1,58.5,0.2,1,10,Partially cloudy,partly-cloudy-day,
"Pemalang, Indonesia",2026-05-01T08:00:00,26.9,29.8,24,84.16,0,0,,0,0,19.4,6.1,161.5,1013,55.4,24.1,254.6,0.9,3,10,Partially cloudy,partly-cloudy-day,
"Pemalang, Indonesia",2026-05-01T09:00:00,27.8,31.1,23.4,77.01,0.1,0,rain,0,0,22,6.5,144.1,1013,32.1,24.1,340.6,1.2,3,10,Partially cloudy,partly-cloudy-day,
"Pemalang, Indonesia",2026-05-01T10:00:00,28.3,31.9,23.4,74.79,0.1,0,rain,0,0,21.2,6.8,140,1013,19.2,24.1,357.1,1.3,4,10,Clear,clear-day,
"Pemalang, Indonesia",2026-05-01T11:00:00,29,33.1,23.6,72.69,0.2,0,rain,0,0,20.2,5.8,131.3,1012,32.8,24.1,600.4,2.2,6,30,Partially cloudy,partly-cloudy-day,
